phase,maxstat_obs,best_lag_obs,p_phase,q_phase,n_null,null_mode,block_len,stat,two_sided,amp_var,gate_var,phase_var,p_global
1,0.09088306855588946,20,0.8365817091454273,0.912543728135932,2000,circshift,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.21889055472263869
2,0.09196750902527073,0,0.912543728135932,0.912543728135932,2000,circshift,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.21889055472263869
3,0.12445072190834905,0,0.6491754122938531,0.8655672163918041,2000,circshift,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.21889055472263869
4,0.2425202009172308,28,0.034482758620689655,0.2028985507246377,2000,circshift,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.21889055472263869
5,0.1715292675452038,0,0.08695652173913043,0.2028985507246377,2000,circshift,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.21889055472263869
6,0.16237331081081086,4,0.07546226886556721,0.2028985507246377,2000,circshift,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.21889055472263869
7,0.12171803652968038,13,0.4617691154422789,0.7388305847076462,2000,circshift,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.21889055472263869
8,0.22131410256410255,25,0.10144927536231885,0.2028985507246377,2000,circshift,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.21889055472263869
