phase,maxstat_obs,best_lag_obs,p_phase,q_phase,n_null,null_mode,block_len,stat,two_sided,amp_var,gate_var,phase_var,p_global
1,0.3046351671218872,28,0.5982008995502249,0.6836581709145427,2000,circshift,60,snr,0,z500_amp_gated,burst_gate,driver_phase_index,0.28085957021489255
2,0.42589181661605835,0,0.4917541229385307,0.655672163918041,2000,circshift,60,snr,0,z500_amp_gated,burst_gate,driver_phase_index,0.28085957021489255
3,0.0753248780965805,14,0.9025487256371814,0.9025487256371814,2000,circshift,60,snr,0,z500_amp_gated,burst_gate,driver_phase_index,0.28085957021489255
4,0.5026614665985107,1,0.23938030984507747,0.3830084957521239,2000,circshift,60,snr,0,z500_amp_gated,burst_gate,driver_phase_index,0.28085957021489255
5,0.7017553448677063,0,0.01199400299850075,0.095952023988006,2000,circshift,60,snr,0,z500_amp_gated,burst_gate,driver_phase_index,0.28085957021489255
6,0.6214422583580017,2,0.06046976511744128,0.21056138597367982,2000,circshift,60,snr,0,z500_amp_gated,burst_gate,driver_phase_index,0.28085957021489255
7,0.4850398302078247,14,0.22788605697151423,0.3830084957521239,2000,circshift,60,snr,0,z500_amp_gated,burst_gate,driver_phase_index,0.28085957021489255
8,0.7562419772148132,25,0.07896051974012994,0.21056138597367982,2000,circshift,60,snr,0,z500_amp_gated,burst_gate,driver_phase_index,0.28085957021489255
