Phase,MI_surp,MI_RMM,IG_surp,IG_RMM,MI/IG_surp,MI/IG_RMM,lag_MI_surp,lag_MI_RMM,lag_IG_surp,lag_IG_RMM,q_MI_surp,q_MI_RMM,q_IG_surp,q_IG_RMM
1,0.1034915001532525,0.0894137605176661,0.0524186329764941,0.0677048659933019,1.9743265758124753,1.3206400929367748,3,27,0,10,0.1239380309845077,0.5703814759287024,0.1379310344827586,0.1412627019823421
2,0.0938731362123141,0.0630501337688702,0.0366110187310142,0.0548487764386287,2.5640678535063977,1.149526714409357,16,26,6,23,0.3049903619618762,0.6048404369243949,0.4652673663168415,0.409295352323838
3,0.0736803539494523,0.0957342103888656,0.0723278691580877,0.0424659860528415,1.0186993590037674,2.2543738951390675,3,29,2,28,0.3049903619618762,0.7901049475262368,0.0631684157921039,0.409295352323838
4,0.074244685929004,0.1034995971266954,0.0365652856060036,0.0429921954676291,2.0304691922552327,2.4074043207359637,8,25,0,24,0.4517741129435282,0.3694152923538231,0.4652673663168415,0.409295352323838
5,0.1414662802381987,0.1554317866060599,0.0700562800669102,0.0713069743377525,2.0193233226640834,2.1797557398781495,24,21,23,9,0.0759620189905047,0.0539730134932533,0.0339830084957521,0.2118940529735132
6,0.1128617363426656,0.1404773155036101,0.1222434813965129,0.1306127012772044,0.9232536169072576,1.0755256887725615,9,13,8,10,0.1499250374812593,0.2068965517241379,0.0253206729968349,0.1179410294852573
7,0.1128309980231621,0.2464232687593086,0.0785787439309175,0.1801385394657586,1.4358971953325885,1.3679652865518521,16,7,3,4,0.1179410294852573,0.0539730134932533,0.0253206729968349,0.0679660169915042
8,0.0758900757192742,0.1759096924921692,0.0673074999120966,0.0788308226468132,1.1275129193386535,2.2314836581155544,25,1,30,20,0.2038980509745127,0.2068965517241379,0.0253206729968349,0.2118940529735132
