phase,lag,n_on,n_off,diff,std_off,snr,cohen_d,median_on,median_off,diff_median,auc,sinr,selectivity,pd_at_pfa,jsd,outage,lcr,afd,bestlag_phase,train_window,test_window,block_len,n_null,null_mode,stat,two_sided,amp_var,gate_var,phase_var,pfa,q
1,12,51,274,-0.04099650681018829,1.4264510869979858,-0.028740212321281433,-0.029452733711059213,-0.066788449883461,-0.09240026772022247,0.025611817836761475,,,,,,0.21568627450980393,0.2,2.2,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,13,51,274,0.17089326679706573,1.1878024339675903,0.14387348294258118,0.14596974424946052,0.13882014155387878,0.059648752212524414,0.07917138934135437,,,,,,0.13725490196078433,0.16,1.75,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,14,51,274,0.2736632823944092,1.0737617015838623,0.25486406683921814,0.2575111861530291,0.5366096496582031,0.03888312727212906,0.49772652983665466,,,,,,0.13725490196078433,0.16,1.75,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,15,51,274,0.2723510265350342,1.1293174028396606,0.24116428196430206,0.24263203359752844,0.6469311714172363,-0.038609474897384644,0.6855406761169434,,,,,,0.17647058823529413,0.2,1.8,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,16,51,274,0.2800806164741516,1.4153931140899658,0.19788186252117157,0.19943492683457772,0.4669479727745056,-0.024613503366708755,0.4915614724159241,,,,,,0.19607843137254902,0.2,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,17,51,274,0.26751500368118286,1.6773732900619507,0.15948447585105896,0.16094405105129853,0.6167605519294739,0.046657443046569824,0.570103108882904,,,,,,0.17647058823529413,0.16,2.25,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,18,51,274,0.21964749693870544,1.51631498336792,0.14485611021518707,0.14705390479266034,0.4183140993118286,0.17208334803581238,0.24623075127601624,,,,,,0.11764705882352941,0.12,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,19,51,274,0.18053272366523743,1.29865562915802,0.1390150785446167,0.14091338599381562,0.3322875201702118,0.07559385150671005,0.25669366121292114,,,,,,0.13725490196078433,0.12,2.3333333333333335,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,20,51,274,0.2253616601228714,1.2093781232833862,0.18634507060050964,0.18781679769671367,0.212514728307724,0.04058500751852989,0.1719297170639038,,,,,,0.13725490196078433,0.12,2.3333333333333335,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,21,51,274,0.26491910219192505,1.1380326747894287,0.23278690874576569,0.2334227273955238,0.14574038982391357,-0.02077779546380043,0.1665181815624237,,,,,,0.11764705882352941,0.08,3.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,22,51,274,0.27693384885787964,1.0571484565734863,0.2619630694389343,0.26178401854518013,0.23076310753822327,-0.024450253695249557,0.25521335005760193,,,,,,0.13725490196078433,0.12,2.3333333333333335,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,23,51,274,0.28001657128334045,0.9914282560348511,0.2824375629425049,0.27809669462233333,0.07041259109973907,-0.04534534737467766,0.11575794219970703,,,,,,0.13725490196078433,0.12,2.3333333333333335,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,24,51,274,0.2644954025745392,0.9044933319091797,0.292423814535141,0.2798718343862054,-0.03312261402606964,-0.13933521509170532,0.10621260106563568,,,,,,0.23529411764705882,0.24,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,25,51,274,0.21177831292152405,0.8729345798492432,0.24260501563549042,0.23080295587000063,-0.1611861139535904,-0.19426065683364868,0.03307454288005829,,,,,,0.21568627450980393,0.2,2.2,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,26,51,274,0.21821247041225433,0.9047154188156128,0.24119459092617035,0.23273125799355768,-0.01965780183672905,-0.1499256193637848,0.13026781380176544,,,,,,0.21568627450980393,0.24,1.8333333333333333,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
