phase,n_raw_phase_days,occupancy_raw_phase_days,n_active_days,occupancy_active_days_within_active_subset,occupancy_active_days_all_eval_days
1,478,0.13095890410958905,325,0.14412416851441243,0.08904109589041095
2,485,0.13287671232876713,317,0.14057649667405764,0.08684931506849315
3,450,0.1232876712328767,263,0.11662971175166297,0.07205479452054794
4,452,0.12383561643835617,279,0.1237250554323725,0.07643835616438356
5,493,0.13506849315068492,316,0.1401330376940133,0.08657534246575342
6,474,0.12986301369863013,286,0.12682926829268293,0.07835616438356165
7,414,0.11342465753424658,242,0.1073170731707317,0.0663013698630137
8,404,0.11068493150684931,227,0.10066518847006652,0.06219178082191781
