phase,max_stat_obs,best_lag_obs,p_phase,q_phase,n_lags_used,min_n,median_n,n_null,block_len,null_mode,window_mode,underpowered_policy,two_sided,condition_file,condition_var,condition_values,p_global
1,0.08941376051766614,27,0.42778610694652675,0.5703814759287024,31,325.0,325.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.013493253373313344
2,0.06305013376887025,26,0.5292353823088456,0.6048404369243949,31,317.0,317.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.013493253373313344
3,0.09573421038886565,29,0.7901049475262368,0.7901049475262368,31,263.0,263.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.013493253373313344
4,0.10349959712669543,25,0.23088455772113944,0.3694152923538231,31,275.0,279.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.013493253373313344
5,0.15543178660605994,21,0.0069965017491254375,0.053973013493253376,31,310.0,316.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.013493253373313344
6,0.1404773155036101,13,0.10344827586206896,0.20689655172413793,31,284.0,284.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.013493253373313344
7,0.24642326875930864,7,0.013493253373313344,0.053973013493253376,31,242.0,242.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.013493253373313344
8,0.17590969249216926,1,0.08745627186406797,0.20689655172413793,31,227.0,227.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.013493253373313344
