phase,phase_days_raw,phase_days_active,occupancy_raw_days_all_eval,occupancy_active_days_all_eval,gate_duty_cycle_within_phase,H_G_bits
1,478,325,0.13095890410958905,0.08904109589041095,0.15692307692307692,0.6268974981566457
2,485,317,0.13287671232876713,0.08684931506849315,0.12618296529968454,0.5468762421548026
3,450,263,0.1232876712328767,0.07205479452054794,0.10266159695817491,0.4773763193006363
4,452,279,0.12383561643835617,0.07643835616438356,0.13620071684587814,0.5742016862296284
5,493,316,0.13506849315068492,0.08657534246575342,0.20569620253164558,0.7331752422008583
6,474,286,0.12986301369863013,0.07835616438356165,0.22377622377622378,0.7670030768842513
7,414,242,0.11342465753424658,0.0663013698630137,0.39669421487603307,0.9689839576642081
8,404,227,0.11068493150684931,0.06219178082191781,0.14096916299559473,0.5867713455236283
