Phase,MI_surp_p90ref,MI_RMM,IG_surp_p90ref,IG_RMM,MI/IG_surp_p90ref,MI/IG_RMM,lag_MI_surp_p90ref,lag_MI_RMM,lag_IG_surp_p90ref,lag_IG_RMM,q_MI_surp_p90ref,q_MI_RMM,q_IG_surp_p90ref,q_IG_RMM
1,0.1034915001532525,0.0894137605176661,0.0406754449571691,0.0677048659933019,2.5443237378774386,1.3206400929367748,3,27,18,10,0.1239380309845077,0.5703814759287024,0.1386806596701649,0.1412627019823421
2,0.0938731362123141,0.0630501337688702,,0.0548487764386287,,1.149526714409357,16,26,-1,23,0.3049903619618762,0.6048404369243949,,0.409295352323838
3,0.0736803539494523,0.0957342103888656,0.0464069104860027,0.0424659860528415,1.5877022016295579,2.2543738951390675,3,29,13,28,0.3049903619618762,0.7901049475262368,0.0857904381142762,0.409295352323838
4,0.074244685929004,0.1034995971266954,0.0335172154453449,0.0429921954676291,2.2151209443419204,2.4074043207359637,8,25,7,24,0.4517741129435282,0.3694152923538231,0.5402298850574713,0.409295352323838
5,0.1414662802381987,0.1554317866060599,0.0597859394799984,0.0713069743377525,2.3662132178340487,2.1797557398781495,24,21,13,9,0.0759620189905047,0.0539730134932533,0.0749625187406296,0.2118940529735132
6,0.1128617363426656,0.1404773155036101,0.1323141244399872,0.1306127012772044,0.8529832836845436,1.0755256887725615,9,13,8,10,0.1499250374812593,0.2068965517241379,0.0674662668665667,0.1179410294852573
7,0.1128309980231621,0.2464232687593086,,0.1801385394657586,,1.3679652865518521,16,7,-1,4,0.1179410294852573,0.0539730134932533,,0.0679660169915042
8,0.0758900757192742,0.1759096924921692,,0.0788308226468132,,2.2314836581155544,25,1,-1,20,0.2038980509745127,0.2068965517241379,,0.2118940529735132
