phase,spectral_efficiency,throughput,throughput_raw_phase_occupancy,coding_efficiency,outage_at_pfa,outage_q20,lag_mi,lag_ig,mi_bits,ig_bits,phase_occupancy_active_days_all_eval,phase_occupancy_raw_days_all_eval,gate_duty_cycle_within_phase,H_G_bits,auc_q,snr_q
1,0.0894137605176661,0.007961499224175748,0.011709528089710795,0.10799989821682807,1.0,0.1176470588235294,27,10,0.0894137605176661,0.0677048659933019,0.08904109589041095,0.13095890410958905,0.15692307692307692,0.6268974981566457,0.9515242378810594,0.7510530449061183
2,0.0630501337688702,0.005475860932803248,0.008377894487096452,0.10029467768157832,0.85,0.25,26,23,0.0630501337688702,0.0548487764386287,0.08684931506849315,0.13287671232876713,0.12618296529968454,0.5468762421548026,0.9515242378810594,0.7510530449061183
3,0.0957342103888656,0.006898108858156618,0.011802847856161513,0.08895704360671855,0.8888888888888888,0.3703703703703703,29,28,0.0957342103888656,0.0424659860528415,0.07205479452054794,0.1232876712328767,0.10266159695817491,0.4773763193006363,0.9515242378810594,0.9395302348825588
4,0.1034995971266954,0.007911339068040552,0.012816936411305841,0.07487298713789589,0.9210526315789473,0.3157894736842105,25,24,0.1034995971266954,0.0429921954676291,0.07643835616438356,0.12383561643835617,0.13620071684587814,0.5742016862296284,0.1559220389805097,0.2350824587706147
5,0.1554317866060599,0.013456560155483542,0.020993937204599324,0.09725774989851263,0.8461538461538463,0.2307692307692307,21,9,0.1554317866060599,0.0713069743377525,0.08657534246575342,0.13506849315068492,0.20569620253164558,0.7331752422008583,0.2318840579710145,0.1559220389805097
6,0.1404773155036101,0.011007263625762325,0.018242807547592103,0.17028967055488775,0.9375,0.15625,13,10,0.1404773155036101,0.1306127012772044,0.07835616438356165,0.12986301369863013,0.22377622377622378,0.7670030768842513,0.2318840579710145,0.2332167249708479
7,0.2464232687593086,0.016338200284863748,0.02795047486749418,0.1859045632705757,0.71875,0.28125,7,4,0.2464232687593086,0.1801385394657586,0.0663013698630137,0.11342465753424658,0.39669421487603307,0.9689839576642081,0.4605697151424287,0.2350824587706147
8,0.1759096924921692,0.010940137039923947,0.019470552264886674,0.13434674894777868,0.90625,0.25,1,20,0.1759096924921692,0.0788308226468132,0.06219178082191781,0.11068493150684931,0.14096916299559473,0.5867713455236283,0.1559220389805097,0.1559220389805097
