phase,maxstat_obs,best_lag_obs,p_phase,q_phase,n_null,null_mode,block_len,stat,two_sided,amp_var,gate_var,phase_var,p_global
1,0.09088306855588946,20,0.8570714642678661,0.9515242378810594,2000,blockperm,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.14742628685657172
2,0.09196750902527073,0,0.9515242378810594,0.9515242378810594,2000,blockperm,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.14742628685657172
3,0.12445072190834905,0,0.7316341829085458,0.9515242378810594,2000,blockperm,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.14742628685657172
4,0.2425202009172308,28,0.026486756621689155,0.15592203898050974,2000,blockperm,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.14742628685657172
5,0.1715292675452038,0,0.11594202898550725,0.2318840579710145,2000,blockperm,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.14742628685657172
6,0.16237331081081086,4,0.11444277861069466,0.2318840579710145,2000,blockperm,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.14742628685657172
7,0.12171803652968038,13,0.28785607196401797,0.4605697151424287,2000,blockperm,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.14742628685657172
8,0.22131410256410255,25,0.038980509745127435,0.15592203898050974,2000,blockperm,60,auc,1,z500_amp_gated,burst_gate,driver_phase_index,0.14742628685657172
