phase,mi_ig_ratio_surp,mi_ig_ratio_rmm
1,1.9743265758124753,1.3206400929367748
2,2.5640678535063977,1.149526714409357
3,1.0186993590037674,2.2543738951390675
4,2.0304691922552327,2.4074043207359637
5,2.0193233226640834,2.1797557398781495
6,0.9232536169072576,1.0755256887725615
7,1.4358971953325885,1.3679652865518521
8,1.1275129193386535,2.2314836581155544
