phase,maxstat_obs,best_lag_obs,p_phase,q_phase,n_null,null_mode,block_len,stat,two_sided,p_global
1,0.27438949927344014,3,0.059470264867566215,0.11894052973513243,2000,circshift,60,jsd,0,0.03398300849575212
2,0.22674167300280468,4,0.18840579710144928,0.2153209109730849,2000,circshift,60,jsd,0,0.03398300849575212
3,0.2469243066387019,6,0.07496251874062969,0.1199400299850075,2000,circshift,60,jsd,0,0.03398300849575212
4,0.1423641197601384,10,0.3758120939530235,0.3758120939530235,2000,circshift,60,jsd,0,0.03398300849575212
5,0.29164847719391185,8,0.022488755622188907,0.11894052973513243,2000,circshift,60,jsd,0,0.03398300849575212
6,0.2578511044982128,28,0.04597701149425287,0.11894052973513243,2000,circshift,60,jsd,0,0.03398300849575212
7,0.37210542950963665,2,0.031484257871064465,0.11894052973513243,2000,circshift,60,jsd,0,0.03398300849575212
8,0.27954052964397436,20,0.10794602698650675,0.143928035982009,2000,circshift,60,jsd,0,0.03398300849575212
