phase,max_stat_obs,best_lag_obs,p_phase,q_phase,n_lags_used,min_n,median_n,n_null,block_len,null_mode,window_mode,underpowered_policy,two_sided,condition_file,condition_var,condition_values,p_global
1,0.207853388108925,3,0.035982008995502246,0.06476761619190405,31,483.0,483.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.02448775612193903
2,0.18470006300611147,4,0.25287356321839083,0.28899835796387524,31,426.0,429.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.02448775612193903
3,0.19099741268330786,2,0.16241879060469766,0.2165583874729302,31,467.0,477.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.02448775612193903
4,0.1622910465993319,0,0.5077461269365318,0.5077461269365318,31,517.0,519.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.02448775612193903
5,0.2322174202493492,25,0.00399800099950025,0.031984007996002,31,426.0,426.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.02448775612193903
6,0.21789341015356567,8,0.04047976011994003,0.06476761619190405,31,409.0,409.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.02448775612193903
7,0.22629042364278795,16,0.015492253873063468,0.06196901549225387,31,394.0,394.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.02448775612193903
8,0.18950525578278207,30,0.02448775612193903,0.06476761619190405,31,498.0,498.0,2000,60,blockperm,continuous_intensity,flag_only,0,,,,0.02448775612193903
