phase,best_lag_ig,ig_best_bits,p_on,H_G_bits,coding_efficiency
1,15,0.0793721025302607,0.0952380952380952,0.45371633918694476,0.17493772138004712
2,4,0.0581312607382067,0.0885780885780885,0.4317057692990069,0.13465481555319217
3,2,0.09083652812429,0.1327800829875518,0.5650135743838848,0.1607687536062157
4,0,0.0582646676692968,0.1615384615384615,0.6379773724204626,0.09132716956440445
5,13,0.0866380880105143,0.1244131455399061,0.5419146600214879,0.15987404364938004
6,8,0.1312078543606935,0.0782396088019559,0.3959457642320018,0.3313783508082009
7,2,0.1207364775181553,0.0810126582278481,0.40573734207090195,0.29757299858551545
8,30,0.0915161031637245,0.07429718875502,0.38175906044921326,0.23972215107622627
