phase,MI_max,MI_lag,IG_max,IG_lag,IGprime_max,IGprime_lag,IGprime_q,DPI_violation_bits
1,0.1034915001532525,3,0.0471299185049294,0,0.0406754449571691,18,0.1386806596701649,0.0
2,0.0938731362123141,16,,-1,,-1,,0.0
3,0.0736803539494523,3,0.0627023849068875,13,0.0464069104860027,13,0.0857904381142762,0.0
4,0.074244685929004,8,0.0354495919875299,25,0.0335172154453449,7,0.5402298850574713,0.0
5,0.1414662802381987,24,0.0295599468617937,30,0.0597859394799984,13,0.0749625187406296,0.0
6,0.1128617363426656,9,0.0691477522765717,25,0.1323141244399872,8,0.0674662668665667,0.019452388097321596
7,0.1128309980231621,16,,-1,,-1,,0.0
8,0.0758900757192742,25,,-1,,-1,,0.0
