phase,lag,n_on,n_off,diff,std_off,snr,cohen_d,median_on,median_off,diff_median,auc,sinr,selectivity,pd_at_pfa,jsd,outage,lcr,afd,bestlag_phase,train_window,test_window,block_len,n_null,null_mode,stat,two_sided,amp_var,gate_var,gate_source,gate_percentile,gate_threshold,gate_train,phase_var,pfa,q
1,23,46,437,0.7490322164737233,21.57976652725441,0.034709931431729096,0.034751564750448875,-3.0652506947517395,-1.9342237710952759,-1.1310269236564636,,,,,,0.2826086956521739,0.24444444444444444,2.1666666666666665,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,24,46,437,5.816202410456279,23.285110405160165,0.24978204136697427,0.24951970522898614,-0.8425629138946533,-1.019938349723816,0.1773754358291626,,,,,,0.21739130434782608,0.17777777777777778,2.5,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,25,46,437,11.344854096330073,24.45042878307823,0.46399407539967863,0.460784858373897,4.823499321937561,0.3470107913017273,4.476488530635834,,,,,,0.06521739130434782,0.08888888888888889,1.5,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,26,46,437,12.783661845807217,23.184018465470327,0.5513997439592653,0.5458614467075746,11.996883869171143,2.7044382095336914,9.292445659637451,,,,,,0.08695652173913043,0.08888888888888889,2.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,27,46,437,12.595414541671328,22.315724476494793,0.5644188049972614,0.5588468277929056,11.419864654541016,2.284980297088623,9.134884357452393,,,,,,0.08695652173913043,0.13333333333333333,1.3333333333333333,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,28,46,437,12.940180560987383,23.496935748649488,0.5507177914350442,0.5454950761072548,9.51961898803711,1.4105058908462524,8.109113097190857,,,,,,0.10869565217391304,0.13333333333333333,1.6666666666666667,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,29,46,437,13.115758003022318,24.51091414296729,0.5350986881403406,0.5311438570275394,14.572047710418701,1.9991357326507568,12.572911977767944,,,,,,0.06521739130434782,0.06666666666666667,1.5,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,30,46,437,13.186107306496092,24.76078894251417,0.532539869271112,0.5292345038088109,15.745001316070557,2.8311970233917236,12.913804292678833,,,,,,0.043478260869565216,0.022222222222222223,2.0,1,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,0,38,391,1.9461650590970558,17.66817987873388,0.11015085155656226,0.10588000833848994,-0.9709376096725464,0.5045292973518372,-1.4754669070243835,,,,,,0.23684210526315788,0.21621621621621623,2.25,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,1,38,391,5.129084384806232,18.58910715045734,0.27591881327555007,0.26680143555640673,2.6362061500549316,-0.8369479179382324,3.473154067993164,,,,,,0.13157894736842105,0.16216216216216217,1.6666666666666667,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
