phase,max_stat_obs,best_lag_obs,p_phase,q_phase,n_lags_used,min_n,median_n,n_null,block_len,null_mode,window_mode,underpowered_policy,two_sided,p_global
1,0.10349150015325259,3,0.046476761619190406,0.12393803098450774,31,483.0,483.0,2000,60,blockperm,continuous_intensity,flag_only,0,0.018490754622688656
2,0.09387313621231419,16,0.26486756621689156,0.3049903619618762,31,426.0,429.0,2000,60,blockperm,continuous_intensity,flag_only,0,0.018490754622688656
3,0.07368035394945238,3,0.26686656671664166,0.3049903619618762,31,467.0,477.0,2000,60,blockperm,continuous_intensity,flag_only,0,0.018490754622688656
4,0.07424468592900402,8,0.45177411294352826,0.45177411294352826,31,517.0,519.0,2000,60,blockperm,continuous_intensity,flag_only,0,0.018490754622688656
5,0.14146628023819874,24,0.009495252373813094,0.07596201899050475,31,426.0,426.0,2000,60,blockperm,continuous_intensity,flag_only,0,0.018490754622688656
6,0.11286173634266561,9,0.07496251874062969,0.14992503748125938,31,409.0,409.0,2000,60,blockperm,continuous_intensity,flag_only,0,0.018490754622688656
7,0.1128309980231621,16,0.02948525737131434,0.11794102948525736,31,394.0,394.0,2000,60,blockperm,continuous_intensity,flag_only,0,0.018490754622688656
8,0.0758900757192742,25,0.12743628185907047,0.20389805097451275,31,498.0,498.0,2000,60,blockperm,continuous_intensity,flag_only,0,0.018490754622688656
