phase,mu_lag,rms_spread,peak_lag,sum_w,n_lags
1,10.170479604652915,8.03879886220628,0,0.6007540716662428,31
2,9.924500569673716,6.759831680555483,6,0.40267395085890373,31
3,12.185588602940973,9.58561633616514,2,0.8049136832326164,31
4,8.361910826127739,5.8218233207310215,0,0.24170928651857082,31
5,19.289096697646155,6.152870684303694,23,0.5613262873038569,31
6,13.10914958758288,7.8547951223710015,8,1.0077487978539237,31
7,10.735187016592947,7.759639294632913,3,0.7577540063200031,31
8,23.69673365521144,7.86909704678118,30,0.24991380945316433,31
