phase,lag,n_on,n_off,n_total,p_on,H_uncond,H_cond,IG_bits,MI_bits,KL_on_bits,KL_off_bits,q90_shift,n_bins,underpowered,bestlag_phase,window_mode,gate_source,gate_percentile,gate_threshold,gate_train,block_len,n_null,bin_method,bins_min,bins_max,fixed_bins,test_window,target,underpowered_policy,two_sided,min_on,min_off,min_total,condition_file,condition_var,condition_values
1,0,23,462,485,0.04742268041237113,3.640488297780521,3.611402630364226,0.029085667416294925,,0.8016977010281635,0.004324005006057892,0.24679515912147018,20,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,1,23,461,484,0.047520661157024795,3.75041043434226,3.717407066491123,0.033003367851137,,0.8766008001632527,0.00351699267452362,0.24658641753503413,21,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,2,23,460,483,0.047619047619047616,3.7969250026309367,3.764451769413817,0.03247323321711981,,0.8666967178041872,0.00360818682952226,0.24637681159420288,22,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,3,23,460,483,0.047619047619047616,3.7620179580961315,3.7238349288853865,0.03818302921074501,,0.8280095019525907,0.004141319767451158,0.24637681159420288,20,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,4,23,460,483,0.047619047619047616,3.813515286856184,3.77737136231398,0.03614392454220372,,0.8146839083060602,0.005265956663450374,0.24637681159420288,21,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,5,23,460,483,0.047619047619047616,3.761078246507277,3.73486158803379,0.026216658473487087,,0.6566028833606073,0.0034811788205447326,0.24637681159420288,20,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,6,23,460,483,0.047619047619047616,3.6947517009654707,3.663528339349168,0.03122336161630246,,0.6575865574456585,0.005172172156628738,0.15942028985507245,18,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,7,23,460,483,0.047619047619047616,3.6744311007701507,3.6352891825931817,0.03914191817696899,,0.754447926649133,0.0051550672687859156,0.11594202898550723,17,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,8,23,460,483,0.047619047619047616,3.631840180585503,3.5966751417515264,0.03516503883397659,,0.7463010820397028,0.003565791593094856,0.07246376811594202,17,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,9,23,460,483,0.047619047619047616,3.631340954765462,3.608206607377954,0.02313434738750786,,0.6181374094807575,0.0026903773331057408,0.07246376811594202,18,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,10,23,460,483,0.047619047619047616,3.6516394627375477,3.6288675061591604,0.022771956578387265,,0.6906527839361698,0.003248808749613462,0.0289855072463768,19,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,11,23,460,483,0.047619047619047616,3.695780135451469,3.687967125871146,0.007813009580323271,,0.4405520754394912,0.0016487711469014702,0.0289855072463768,19,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,12,23,460,483,0.047619047619047616,3.6963843894307247,3.682241900663507,0.014142488767217465,,0.5784933758433722,0.0028756063843882575,-0.014492753623188415,20,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,13,23,460,483,0.047619047619047616,3.756925658049604,3.746647174119863,0.010278483929741178,,0.6006797603163088,0.0022610257663483605,0.0289855072463768,22,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,14,23,460,483,0.047619047619047616,3.7661497880167873,3.746445867222806,0.01970392079398131,,0.740788580927057,0.0046051803210391574,0.0289855072463768,22,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,15,23,460,483,0.047619047619047616,3.730991437194195,3.7005585128689433,0.030432924325251687,,0.7906993141091405,0.006125771588860957,0.11594202898550723,20,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,16,23,460,483,0.047619047619047616,3.7572260140795763,3.7260578977805463,0.031168116299030046,,0.8011001626512279,0.004386580958461675,0.24637681159420288,20,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,17,23,460,483,0.047619047619047616,3.839754610283954,3.812870182508548,0.026884427775406117,,0.7449187440767693,0.0032918298511661224,0.24637681159420288,22,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,18,23,460,483,0.047619047619047616,3.7921456592983454,3.7514702143411762,0.04067544495716913,,0.9346363201950154,0.005210989491410678,0.3333333333333333,22,0,1,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,19,23,460,483,0.047619047619047616,3.7439524208387076,3.714646095836081,0.029306325002626643,,0.8074432610904398,0.00334874032390633,0.2028985507246377,21,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,20,23,460,483,0.047619047619047616,3.756957311124851,3.7425714178218867,0.014385893302964359,,0.6787918635868343,0.002670229761664018,0.0289855072463768,22,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,21,23,460,483,0.047619047619047616,3.8555596239128835,3.8739547134800776,-0.018395089567194045,,0.37435002839547693,0.0012395738955680072,-0.10144927536231885,26,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,22,23,460,483,0.047619047619047616,3.858573347019527,3.8731693183741283,-0.014595971354601112,,0.44720550432687467,0.0020364822880841902,-0.10144927536231885,26,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,23,23,460,483,0.047619047619047616,3.870553011800239,3.890843324341689,-0.02029031254144975,,0.36974546684941706,0.0013583201909637822,-0.10144927536231885,26,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,24,23,460,483,0.047619047619047616,3.88753407292305,3.903780181941865,-0.01624610901881507,,0.439646745301488,0.0022688082835134603,-0.10144927536231885,25,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,25,23,460,483,0.047619047619047616,3.8597312302639457,3.8784071811881238,-0.018675950924178064,,0.10579155362593232,0.0007717229953448475,-0.10144927536231885,21,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,26,23,460,483,0.047619047619047616,3.7646076032812146,3.7835778713528136,-0.018970268071599072,,0.32768881155403323,0.0008960849848896299,-0.05797101449275363,23,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,27,23,460,483,0.047619047619047616,3.7805988452530266,3.799454380363682,-0.01885553511065563,,0.32750110718999276,0.0007904247256375208,-0.014492753623188415,24,0,0,binary_gate,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
