phase,lag,n_on,n_off,n_total,p_on,H_uncond,H_cond,IG_bits,MI_bits,KL_on_bits,KL_off_bits,q90_shift,n_bins,underpowered,bestlag_phase,window_mode,gate_source,gate_percentile,gate_threshold,gate_train,block_len,n_null,bin_method,bins_min,bins_max,fixed_bins,test_window,target,underpowered_policy,two_sided,min_on,min_off,min_total,condition_file,condition_var,condition_values,w_bins
1,16,0,0,77,,3.0724179984715505,2.847808244073444,,0.2246097543981067,,,,10,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,-1,5
1,17,0,0,77,,3.184988366012356,2.934175693764685,,0.2508126722476711,,,,10,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,-1,5
1,18,0,0,77,,3.2062453036418157,2.9261795036045344,,0.2800658000372813,,,,10,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,-1,5
1,19,0,0,77,,3.020332954821451,2.8123281109246734,,0.20800484389677765,,,,10,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,-1,5
1,20,0,0,77,,3.098401997292944,2.9633768990513465,,0.1350250982415977,,,,10,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,-1,5
1,21,0,0,77,,3.1773411544705623,2.8920654701497157,,0.2852756843208466,,,,10,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,-1,5
1,22,0,0,77,,3.1740926423512037,2.9461109657170104,,0.22798167663419333,,,,10,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,-1,5
1,23,0,0,77,,2.9774245584641164,2.8697321397598587,,0.10769241870425761,,,,10,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,-1,5
1,24,0,0,77,,2.96930695157865,2.8734639875680346,,0.09584296401061554,,,,10,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,-1,5
1,25,0,0,77,,3.0996217737023715,2.959871570000728,,0.13975020370164337,,,,10,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,-1,5
