phase,maxstat_obs,best_lag_obs,p_phase,q_phase,n_null,null_mode,block_len,stat,two_sided,p_global
1,0.18405169248580933,3,0.00998003992015968,0.07984031936127745,500,blockperm,60,selectivity,0,0.5788423153692615
2,0.17221474647521973,10,0.25948103792415167,0.42155688622754495,500,blockperm,60,selectivity,0,0.5788423153692615
3,0.10458511114120483,6,0.2634730538922156,0.42155688622754495,500,blockperm,60,selectivity,0,0.5788423153692615
4,0.04976007342338562,30,0.4810379241516966,0.5369261477045908,500,blockperm,60,selectivity,0,0.5788423153692615
5,0.12351217865943909,10,0.20958083832335328,0.42155688622754495,500,blockperm,60,selectivity,0,0.5788423153692615
6,0.09721308946609497,28,0.5369261477045908,0.5369261477045908,500,blockperm,60,selectivity,0,0.5788423153692615
7,0.13153009116649628,1,0.24550898203592814,0.42155688622754495,500,blockperm,60,selectivity,0,0.5788423153692615
8,0.2017248570919037,6,0.499001996007984,0.5369261477045908,500,blockperm,60,selectivity,0,0.5788423153692615
