phase,ig_p85_best_lag,ig_p85_p,ig_p85_q,mi_cont_ga_best_lag,mi_cont_ga_p,mi_cont_ga_q,ig_p85_cshift_best_lag,ig_p85_cshift_p,ig_p85_cshift_q,mi_cont_cshift_best_lag,mi_cont_cshift_p,mi_cont_cshift_q,auc_best_lag,auc_p,auc_q,snr_best_lag,snr_p,snr_q
1,15,0.0929535232383808,0.1239380309845077,3,0.0359820089955022,0.064767616191904,15,0.1244377811094452,0.1659170414792603,3,0.0324837581209395,0.064967516241879,0,0.3963018490754623,0.4529163989433855,0,0.1034482758620689,0.2278860569715142
2,4,0.4442778610694652,0.5077461269365318,4,0.2528735632183908,0.2889983579638752,4,0.367816091954023,0.4203612479474548,4,0.1879060469765117,0.2147497679731562,3,0.7151424287856072,0.7151424287856072,3,0.5347326336831584,0.5347326336831584
3,2,0.0434782608695652,0.0869565217391304,2,0.1624187906046976,0.2165583874729302,2,0.0209895052473763,0.0509745127436281,2,0.1254372813593203,0.1672497084790938,3,0.2588705647176412,0.4529163989433855,3,0.1329335332333833,0.2278860569715142
4,0,0.5077461269365318,0.5077461269365318,0,0.5077461269365318,0.5077461269365318,0,0.4362818590704648,0.4362818590704648,0,0.5052473763118441,0.5052473763118441,5,0.1894052973513243,0.4529163989433855,5,0.1324337831084457,0.2278860569715142
5,13,0.0599700149925037,0.095952023988006,25,0.0039980009995002,0.031984007996002,13,0.0804597701149425,0.128735632183908,25,0.0164917541229385,0.0599700149925037,13,0.3958020989505247,0.4529163989433855,13,0.1989005497251374,0.2387377739701577
6,8,0.0074962518740629,0.0199900049975012,8,0.04047976011994,0.064767616191904,8,0.0029985007496251,0.0239880059970015,8,0.0109945027486256,0.0599700149925037,27,0.1019490254872563,0.4077961019490255,28,0.208895552223888,0.2387377739701577
7,2,0.0069965017491254,0.0199900049975012,16,0.0154922538730634,0.0619690154922538,2,0.008495752123938,0.0339830084957521,16,0.0224887556221889,0.0599700149925037,5,0.0829585207396301,0.4077961019490255,4,0.0304847576211894,0.2278860569715142
8,30,0.0049975012493753,0.0199900049975012,30,0.024487756121939,0.064767616191904,30,0.025487256371814,0.0509745127436281,30,0.0544727636181909,0.0871564217891054,11,0.383808095952024,0.4529163989433855,11,0.1424287856071964,0.2278860569715142
