phase,lag,context_len,MI_bits,H_uncond,H_cond
1,0,1,0.033774079875029894,3.600451950047994,3.5666778701729642
1,1,1,0.05484484786369004,3.613251638188786,3.5584067903250958
1,2,1,0.02664018460141282,3.6822843179534352,3.6556441333520224
1,3,1,0.012451488053835114,3.6011387261278824,3.5886872380740473
1,4,1,0.050820278848127565,3.6068071013859733,3.5559868225378457
1,5,1,0.03789123732835442,3.60432113541357,3.5664298980852154
1,6,1,0.06907532357187662,3.6459638977220443,3.5768885741501677
1,7,1,0.08497446241159112,3.6652732177242817,3.5802987553126906
1,8,1,0.07228862669409564,3.65298597893071,3.5806973522366143
1,9,1,0.03428982667403124,3.6550430226104353,3.620753195936404
1,10,1,0.04266553765003778,3.7220257233524627,3.679360185702425
1,11,1,0.04691594949252842,3.7080837415089007,3.6611677920163723
1,12,1,0.04163820085597614,3.6593705316917573,3.617732330835781
1,13,1,0.023137984732241268,3.649298420211549,3.6261604354793078
1,14,1,0.008322365909546381,3.7312033390537276,3.722880973144181
1,15,1,-0.02008249500989745,3.7848356968511796,3.804918191861077
1,16,1,-0.006099246181272999,3.789769282370416,3.795868528551689
1,17,1,0.004674300184299263,3.745042122482814,3.7403678222985146
1,18,1,-0.0025659309572092504,3.669018813510572,3.6715847444677814
1,19,1,-0.006083841094191467,3.6773870146134295,3.683470855707621
1,20,1,-0.013231831379000969,3.68361762335478,3.696849454733781
1,21,1,0.005425329845676341,3.7007703863217456,3.6953450564760693
1,22,1,0.032125579764402445,3.714676613405403,3.6825510336410003
1,23,1,0.023135005304392386,3.600946630573023,3.5778116252686307
1,24,1,0.05369388360874572,3.5425602241123175,3.488866340503572
1,25,1,0.06854371853589969,3.6787294017932233,3.6101856832573236
1,26,1,0.09332384321430087,3.620343610433115,3.527019767218814
1,27,1,0.09257505183880399,3.6000016690321837,3.5074266171933797
1,28,1,0.08285233818517135,3.6469132018487462,3.564060863663575
1,29,1,0.0737802185382308,3.6617024849788677,3.587922266440637
1,30,1,0.10927493112063003,3.694588755578203,3.585313824457573
1,0,2,-0.013593739626261758,3.600451950047994,3.614045689674256
1,1,2,0.0316000819634108,3.613251638188786,3.581651556225375
1,2,2,0.010590011895398987,3.6822843179534352,3.6716943060580363
1,3,2,-0.006360319042179263,3.6011387261278824,3.6074990451700617
1,4,2,0.03316540922362332,3.6068071013859733,3.57364169216235
1,5,2,0.012506149082847529,3.60432113541357,3.5918149863307223
1,6,2,0.06866750274751121,3.6459638977220443,3.577296394974533
1,7,2,0.08624731890243886,3.6652732177242817,3.579025898821843
1,8,2,0.06299615500097078,3.65298597893071,3.589989823929739
1,9,2,0.01779676041186251,3.6550430226104353,3.637246262198573
1,10,2,0.019669076402709873,3.7220257233524627,3.702356646949753
1,11,2,0.030254554991710148,3.7080837415089007,3.6778291865171906
1,12,2,0.012633587535026969,3.6593705316917573,3.6467369441567303
1,13,2,-0.008469923802325141,3.649298420211549,3.657768344013874
1,14,2,-0.03306596466097966,3.7312033390537276,3.7642693037147072
1,15,2,-0.06698687220580979,3.7848356968511796,3.8518225690569894
1,16,2,-0.054125439732419345,3.789769282370416,3.8438947221028354
1,17,2,-0.028908143849035728,3.745042122482814,3.7739502663318496
1,18,2,-0.019646512311255915,3.669018813510572,3.688665325821828
1,19,2,-0.05498007023235374,3.6773870146134295,3.7323670848457833
1,20,2,-0.0743492982445253,3.68361762335478,3.7579669215993055
1,21,2,-0.048649912424791,3.7007703863217456,3.7494202987465366
1,22,2,0.004547369295273107,3.714676613405403,3.7101292441101297
1,23,2,-0.007578251959076798,3.600946630573023,3.6085248825321
1,24,2,0.04016772429001492,3.5425602241123175,3.5023924998223026
1,25,2,0.052787807085912686,3.6787294017932233,3.6259415947073106
1,26,2,0.07725054049218327,3.620343610433115,3.5430930699409315
1,27,2,0.0714305803728732,3.6000016690321837,3.5285710886593105
1,28,2,0.054627460864874244,3.6469132018487462,3.592285740983872
1,29,2,0.039247833850335034,3.6617024849788677,3.6224546511285327
1,30,2,0.07348527020894968,3.694588755578203,3.6211034853692534
2,0,1,0.021151563621290226,3.7330344441546073,3.711882880533317
2,1,1,0.05599563797914442,3.688221812567335,3.6322261745881907
2,2,1,0.036072568794699666,3.724494025119577,3.6884214563248774
2,3,1,0.04480302682198323,3.7924117362262835,3.7476087094043002
2,4,1,0.06429191449574878,3.8377010290090854,3.7734091145133366
2,5,1,0.026228723768201512,3.905475598820899,3.8792468750526976
2,6,1,0.04428660200496504,3.783882533408696,3.739595931403731
2,7,1,0.07181625336178366,3.848048610567173,3.7762323572053895
2,8,1,0.03918961995018666,3.7321948888333427,3.693005268883156
2,9,1,0.08092431788652377,3.753605875456238,3.6726815575697143
2,10,1,0.06901727908822775,3.6924449607752723,3.6234276816870445
2,11,1,0.07128071563621408,3.5716476997211575,3.5003669840849434
2,12,1,0.08276516302425474,3.6986750216061166,3.615909858581862
2,13,1,0.09549770298648763,3.6833063692385344,3.5878086662520468
2,14,1,0.08755569314263623,3.6167281481337565,3.5291724549911203
2,15,1,0.07915013847104069,3.652395682818059,3.573245544347018
2,16,1,0.0019989148755281683,3.7580526805944388,3.7560537657189106
2,17,1,-0.05198320494323294,3.7304937242572764,3.7824769292005094
2,18,1,-0.0700451857178419,3.8609609925574673,3.931006178275309
2,19,1,-0.03540915553844037,3.7407344585632742,3.7761436141017146
2,20,1,0.00601354901359219,3.7075845857415004,3.701571036727908
2,21,1,0.08016204616168521,3.706677191330744,3.626515145169059
2,22,1,0.08896555697686015,3.6114064765893463,3.522440919612486
2,23,1,0.0682673106995253,3.7575797057943037,3.6893123950947784
2,24,1,0.03271691838622415,3.784357708058592,3.751640789672368
2,25,1,0.05617858704522849,3.716278552535863,3.6600999654906343
2,26,1,0.02004331364871481,3.6741886379967776,3.654145324348063
2,27,1,0.02217867241751259,3.7029106721766487,3.680731999759136
2,28,1,0.056085495464541335,3.812259332616532,3.756173837151991
2,29,1,0.075287945860671,3.7022557777075162,3.6269678318468452
2,30,1,0.04168212470906374,3.677185653358039,3.635503528648975
2,0,2,-0.02950269579560727,3.7330344441546073,3.7625371399502145
2,1,2,0.017191035563133727,3.688221812567335,3.6710307770042014
2,2,2,0.011135735572726624,3.724494025119577,3.7133582895468504
2,3,2,0.014294657177837955,3.7924117362262835,3.7781170790484455
2,4,2,0.028553888846780673,3.8377010290090854,3.8091471401623047
2,5,2,-0.002671957554339688,3.905475598820899,3.908147556375239
2,6,2,0.0036428852059611216,3.783882533408696,3.780239648202735
2,7,2,0.026295306456457723,3.848048610567173,3.8217533041107155
2,8,2,-0.0004189991625422884,3.7321948888333427,3.732613887995885
2,9,2,0.050514979022408646,3.753605875456238,3.7030908964338294
2,10,2,0.03986984557004858,3.6924449607752723,3.6525751152052237
2,11,2,0.04890596171911277,3.5716476997211575,3.5227417380020447
2,12,2,0.04107718558531026,3.6986750216061166,3.6575978360208063
2,13,2,0.05889378449646765,3.6833063692385344,3.6244125847420667
2,14,2,0.06231698847774103,3.6167281481337565,3.5544111596560155
2,15,2,0.054610346257397246,3.652395682818059,3.5977853365606616
2,16,2,-0.06060363234792865,3.7580526805944388,3.8186563129423674
2,17,2,-0.12173671485786208,3.7304937242572764,3.8522304391151385
2,18,2,-0.12763829746259558,3.8609609925574673,3.988599290020063
2,19,2,-0.09032044603524803,3.7407344585632742,3.8310549045985223
2,20,2,-0.01902861347683471,3.7075845857415004,3.726613199218335
2,21,2,0.05552274229025933,3.706677191330744,3.651154449040485
2,22,2,0.06841810717220653,3.6114064765893463,3.54298836941714
2,23,2,0.055899306877864596,3.7575797057943037,3.701680398916439
2,24,2,0.01881657451176899,3.784357708058592,3.765541133546823
2,25,2,0.033657435485571874,3.716278552535863,3.682621117050291
2,26,2,-0.01435825427451709,3.6741886379967776,3.6885468922712947
2,27,2,-0.014454262844965093,3.7029106721766487,3.717364935021614
2,28,2,0.036221469990904254,3.812259332616532,3.776037862625628
2,29,2,0.05262091396057489,3.7022557777075162,3.6496348637469413
2,30,2,0.011250058082843406,3.677185653358039,3.6659355952751955
3,0,1,0.05711258333000435,3.767821261603791,3.710708678273787
3,1,1,0.013064143847527632,3.7667180498763346,3.753653906028807
3,2,1,0.01816327906256543,3.8486000316340636,3.830436752571498
3,3,1,-0.039615380061604366,3.8912269182460486,3.930842298307653
3,4,1,-0.011468429002980063,3.9376838430882843,3.9491522720912644
3,5,1,-0.04483100978882737,3.852802553272212,3.8976335630610395
3,6,1,-0.025778896399014872,3.7420544758818868,3.7678333722809016
3,7,1,-0.03336015712493712,3.798794620675942,3.8321547778008793
3,8,1,0.006800322482671817,3.711573932156664,3.704773609673992
3,9,1,0.020427201460686106,3.8135683961768487,3.7931411947161626
3,10,1,0.009256458176049698,3.805630313530287,3.796373855354237
3,11,1,0.02408127748960398,3.7218357313759167,3.6977544538863127
3,12,1,0.004633607436951959,3.7253484719526897,3.7207148645157377
3,13,1,-0.04508622021121367,3.781125476357298,3.8262116965685116
3,14,1,-0.04784799998803102,3.702782726470252,3.750630726458283
3,15,1,-0.041938406345654045,3.660772348279124,3.702710754624778
3,16,1,-0.013856063185041734,3.7372901122914586,3.7511461754765003
3,17,1,0.004674309969969315,3.690201435379702,3.685527125409733
3,18,1,-0.003664460265036862,3.6874651388915907,3.6911295991566275
3,19,1,-0.0211370019499042,3.6120632136336432,3.6332002155835474
3,20,1,0.00747754695013203,3.6573553973199098,3.6498778503697777
3,21,1,-0.0015787504324271673,3.7513643504849448,3.752943100917372
3,22,1,-0.04841189153105008,3.8086646073870947,3.8570764989181447
3,23,1,0.005171386284897661,3.8616597858601214,3.8564883995752237
3,24,1,0.013779946203939186,3.8813978984483457,3.8676179522444065
3,25,1,0.03533518940110314,3.8198663761736205,3.7845311867725173
3,26,1,0.05368300161535933,3.792332408030927,3.7386494064155675
3,27,1,0.03000252899485556,3.8528074486267565,3.822804919631901
3,28,1,0.01231409020221852,3.7583794259259915,3.746065335723773
3,29,1,0.01281820269097933,3.8611662645895133,3.848348061898534
3,30,1,0.0487860240267568,3.8179454567258095,3.7691594326990527
3,0,2,0.0341347965491261,3.767821261603791,3.733686465054665
3,1,2,-0.001969523638490678,3.7667180498763346,3.7686875735148253
3,2,2,-0.021915562794712073,3.8486000316340636,3.8705155944287757
3,3,2,-0.08435286276825726,3.8912269182460486,3.975579781014306
3,4,2,-0.04553798851667068,3.9376838430882843,3.983221831604955
3,5,2,-0.07389921565265345,3.852802553272212,3.9267017689248656
3,6,2,-0.04731835876381085,3.7420544758818868,3.7893728346456976
3,7,2,-0.04834450735479745,3.798794620675942,3.8471391280307397
3,8,2,-0.0015454122343658838,3.711573932156664,3.7131193443910298
3,9,2,0.015833033072017777,3.8135683961768487,3.797735363104831
3,10,2,0.008578421216749454,3.805630313530287,3.7970518923135375
3,11,2,0.016381142618970834,3.7218357313759167,3.705454588756946
3,12,2,-0.007641294010417354,3.7253484719526897,3.732989765963107
3,13,2,-0.07585621268450593,3.781125476357298,3.856981689041804
3,14,2,-0.08369974410171643,3.702782726470252,3.7864824705719684
3,15,2,-0.07065979503201358,3.660772348279124,3.7314321433111375
3,16,2,-0.032215496421228895,3.7372901122914586,3.7695056087126875
3,17,2,-0.020557173598874545,3.690201435379702,3.7107586089785767
3,18,2,-0.037123996446818186,3.6874651388915907,3.724589135338409
3,19,2,-0.05644347630868607,3.6120632136336432,3.6685066899423293
3,20,2,-0.012872998651716205,3.6573553973199098,3.670228395971626
3,21,2,-0.03267511028406567,3.7513643504849448,3.7840394607690104
3,22,2,-0.09320437674659665,3.8086646073870947,3.9018689841336913
3,23,2,-0.036056875379212094,3.8616597858601214,3.8977166612393335
3,24,2,-0.0090162925142927,3.8813978984483457,3.8904141909626384
3,25,2,0.005701515381846267,3.8198663761736205,3.814164860791774
3,26,2,0.02841383544607856,3.792332408030927,3.7639185725848483
3,27,2,0.0031114284582214324,3.8528074486267565,3.849696020168535
3,28,2,-0.0016965401214541487,3.7583794259259915,3.7600759660474457
3,29,2,-0.0009493002467886313,3.8611662645895133,3.862115564836302
3,30,2,0.04298862378913393,3.8179454567258095,3.7749568329366756
4,0,1,0.06583255690139111,3.598992267767084,3.533159710865693
4,1,1,0.05271249835084513,3.640323900342909,3.587611401992064
4,2,1,0.04888050076962536,3.685158481282304,3.636277980512679
4,3,1,0.06292318323638346,3.758032018309494,3.6951088350731105
4,4,1,0.01795328841495225,3.5737531228403077,3.5557998344253554
4,5,1,-0.013594668714567604,3.6773803762522235,3.690975044966791
4,6,1,-0.008996792265347331,3.8156611261678344,3.8246579184331817
4,7,1,0.03282661805013687,3.763332484495297,3.73050586644516
4,8,1,0.030609840267026733,3.763414420814077,3.73280458054705
4,9,1,0.007880987245755922,3.7507952128718336,3.7429142256260777
4,10,1,0.013274655713723327,3.6913104549474816,3.6780357992337582
4,11,1,0.04235219583065408,3.622763018595926,3.580410822765272
4,12,1,0.035950977042920496,3.6738287965527587,3.6378778195098382
4,13,1,0.009484835101285949,3.6797740867593434,3.6702892516580574
4,14,1,0.02167759361083954,3.7120575569617364,3.690379963350897
4,15,1,0.013714501041091065,3.6712807860642935,3.6575662850232025
4,16,1,0.021033410907325134,3.5454312560673316,3.5243978451600064
4,17,1,-0.0057140580493206805,3.563954105061416,3.5696681631107365
4,18,1,-0.0029442533360661827,3.6053839020655034,3.6083281554015696
4,19,1,0.015320276465606408,3.650307916722382,3.634987640256776
4,20,1,-0.005721930040615941,3.671426947867117,3.677148877907733
4,21,1,0.053070012467428374,3.7118695332273206,3.6587995207598922
4,22,1,0.06984054937292417,3.536769169439027,3.4669286200661027
4,23,1,0.06269237731939636,3.5293947450068126,3.4667023676874162
4,24,1,0.020200119471312394,3.567958877015635,3.547758757544323
4,25,1,0.02306112945248584,3.592903645236705,3.5698425157842193
4,26,1,0.02597783068516213,3.604732414911391,3.5787545842262287
4,27,1,-0.003729413555647376,3.8117779173310185,3.815507330886666
4,28,1,-0.013269023851238959,3.711658795681241,3.7249278195324798
4,29,1,0.012069403368896392,3.6807946025287808,3.6687251991598844
4,30,1,0.03776233072494728,3.5775325830270015,3.539770252302054
4,0,2,0.055277537835750845,3.598992267767084,3.543714729931333
4,1,2,0.027180861514301657,3.640323900342909,3.6131430388286074
4,2,2,0.03361812991270963,3.685158481282304,3.6515403513695945
4,3,2,0.05345458115790391,3.758032018309494,3.70457743715159
4,4,2,0.01631002986033314,3.5737531228403077,3.5574430929799745
4,5,2,-0.0491102544754769,3.6773803762522235,3.7264906307277004
4,6,2,-0.04633962338051756,3.8156611261678344,3.862000749548352
4,7,2,-0.006772389857104155,3.763332484495297,3.770104874352401
4,8,2,-0.020787184239711376,3.763414420814077,3.7842016050537883
4,9,2,-0.040847908716392656,3.7507952128718336,3.7916431215882263
4,10,2,-0.017925729438820426,3.6913104549474816,3.709236184386302
4,11,2,0.023956352412632498,3.622763018595926,3.5988066661832936
4,12,2,0.008300907258508072,3.6738287965527587,3.6655278892942507
4,13,2,-0.03937369331727547,3.6797740867593434,3.719147780076619
4,14,2,-0.014418308583533435,3.7120575569617364,3.72647586554527
4,15,2,-0.008854807865124048,3.6712807860642935,3.6801355939294176
4,16,2,-0.02225913575445615,3.5454312560673316,3.5676903918217877
4,17,2,-0.05978923592762664,3.563954105061416,3.6237433409890425
4,18,2,-0.048654436336407425,3.6053839020655034,3.654038338401911
4,19,2,-0.024543112152414892,3.650307916722382,3.674851028874797
4,20,2,-0.0530434623957019,3.671426947867117,3.724470410262819
4,21,2,0.03543458621407458,3.7118695332273206,3.676434947013246
4,22,2,0.04740346875669621,3.536769169439027,3.4893657006823307
4,23,2,0.05109589674932469,3.5293947450068126,3.478298848257488
4,24,2,0.0033262695753188964,3.567958877015635,3.5646326074403163
4,25,2,0.012353275643537831,3.592903645236705,3.5805503695931673
4,26,2,0.0022839772009906056,3.604732414911391,3.6024484377104002
4,27,2,-0.041844561788718426,3.8117779173310185,3.853622479119737
4,28,2,-0.04157577581336369,3.711658795681241,3.7532345714946045
4,29,2,-0.02966021546464459,3.6807946025287808,3.7104548179934254
4,30,2,-0.010792236061566207,3.5775325830270015,3.5883248190885677
5,0,1,0.02732002998588623,3.5182046766942947,3.4908846467084085
5,1,1,0.0687169224019164,3.487291093900512,3.4185741714985958
5,2,1,0.12784666683485657,3.5081412019463047,3.380294535111448
5,3,1,0.12361954211323978,3.4631141514793002,3.3394946093660605
5,4,1,0.06691887007555097,3.6237047916432914,3.5567859215677404
5,5,1,0.05620617301352171,3.554561254428283,3.4983550814147613
5,6,1,0.04770309909698245,3.590444477553315,3.5427413784563324
5,7,1,0.02798442563099446,3.4379099884516466,3.409925562820652
5,8,1,0.01743436357439121,3.4939544029570264,3.476520039382635
5,9,1,0.027321292063124503,3.4560452960911885,3.428724004028064
5,10,1,0.00639100260095482,3.538718638186634,3.532327635585679
5,11,1,0.03206191361845212,3.575244399538892,3.5431824859204397
5,12,1,0.031897819108731795,3.558448883250255,3.526551064141523
5,13,1,0.013217538987288613,3.695652890274066,3.6824353512867773
5,14,1,0.09267927905095608,3.8311587143651797,3.7384794353142237
5,15,1,0.1174053095118226,3.727661668861956,3.6102563593501333
5,16,1,0.06509167994071596,3.674959013173559,3.609867333232843
5,17,1,0.015152789867726835,3.70871910585793,3.693566315990203
5,18,1,0.029455658285751696,3.695443815397387,3.6659881571116353
5,19,1,0.049584250769135974,3.627452054212535,3.577867803443399
5,20,1,0.022401561772442236,3.6455847149278227,3.6231831531553804
5,21,1,0.028167415240368587,3.573223096927905,3.5450556816875363
5,22,1,0.02918622282930672,3.6415707936353274,3.6123845708060207
5,23,1,0.025587994647812362,3.6628983684136323,3.63731037376582
5,24,1,0.08743286069870893,3.630385669682494,3.542952808983785
5,25,1,0.0797491287832468,3.6976937148107885,3.6179445860275417
5,26,1,0.11535350440858627,3.6557180289219593,3.540364524513373
5,27,1,0.09307295703759433,3.677867263015355,3.5847943059777605
5,28,1,0.10407160347657252,3.616268124073386,3.5121965205968135
5,29,1,0.10777788163335744,3.5886805371357426,3.480902655502385
5,30,1,0.07089122078480248,3.590349218449126,3.5194579976643237
5,0,2,-0.00860792447194747,3.5182046766942947,3.526812601166242
5,1,2,0.031639734811347076,3.487291093900512,3.455651359089165
5,2,2,0.1000736651037828,3.5081412019463047,3.408067536842522
5,3,2,0.09872284923549923,3.4631141514793002,3.364391302243801
5,4,2,0.02717125694999689,3.6237047916432914,3.5965335346932945
5,5,2,0.018135245174584202,3.554561254428283,3.5364260092536988
5,6,2,0.022453532640740903,3.590444477553315,3.567990944912574
5,7,2,0.007279774406218298,3.4379099884516466,3.4306302140454283
5,8,2,-0.022767843704651902,3.4939544029570264,3.5167222466616783
5,9,2,-0.019284768639284522,3.4560452960911885,3.475330064730473
5,10,2,-0.035755622651221675,3.538718638186634,3.5744742608378557
5,11,2,0.009747876705709313,3.575244399538892,3.5654965228331825
5,12,2,0.005565834746938503,3.558448883250255,3.5528830485033165
5,13,2,-0.008847394212958548,3.695652890274066,3.7045002844870245
5,14,2,0.05111480542924207,3.8311587143651797,3.7800439089359377
5,15,2,0.061199058748141244,3.727661668861956,3.6664626101138147
5,16,2,0.04309827865015459,3.674959013173559,3.6318607345234044
5,17,2,-0.02896755379261773,3.70871910585793,3.7376866596505476
5,18,2,-0.012230772325990014,3.695443815397387,3.707674587723377
5,19,2,0.023917380469489657,3.627452054212535,3.603534673743045
5,20,2,-0.014101198239020007,3.6455847149278227,3.6596859131668427
5,21,2,-0.0015162065520057944,3.573223096927905,3.5747393034799106
5,22,2,-0.01138298024094686,3.6415707936353274,3.6529537738762743
5,23,2,-0.017906671276240793,3.6628983684136323,3.680805039689873
5,24,2,0.04619975834685075,3.630385669682494,3.584185911335643
5,25,2,0.045739297844968,3.6976937148107885,3.6519544169658205
5,26,2,0.08372300524051024,3.6557180289219593,3.571995023681449
5,27,2,0.06762902181521424,3.677867263015355,3.6102382412001406
5,28,2,0.0722059009065057,3.616268124073386,3.5440622231668804
5,29,2,0.0793638113600279,3.5886805371357426,3.5093167257757147
