phase,best_lag_mi,mi_max_bits,spectral_eff_bits_per_symbol,phase_occupancy,throughput_bits_per_day
1,3,0.207853388108925,0.207853388108925,0.13287671232876713,0.027618874858309217
2,4,0.1847000630061114,0.1847000630061114,0.11753424657534246,0.021708582747841584
3,2,0.1909974126833078,0.1909974126833078,0.13205479452054794,0.02522212408585051
4,0,0.1622910465993319,0.1622910465993319,0.14246575342465753,0.023120916227850025
5,25,0.2322174202493492,0.2322174202493492,0.11698630136986302,0.027166257108622496
6,8,0.2178934101535656,0.2178934101535656,0.11315068493150685,0.024654788600937696
7,16,0.2262904236427879,0.2262904236427879,0.10821917808219178,0.024488963654493486
8,30,0.189505255782782,0.189505255782782,0.13671232876712328,0.02590770483167348
