phase,mi1_max_bits,mi1_best_lag,mi2_max_bits,mi2_best_lag,diversity_gain_bits,relative_gain
1,0.10927493112063,30,0.0862473189024388,7,-0.023027612218191204,-0.2107309698760709
2,0.0954977029864876,13,0.0684181071722065,22,-0.0270795958142811,-0.2835627975063726
3,0.0571125833300043,0,0.0429886237891339,30,-0.014123959540870402,-0.24730030962284155
4,0.0698405493729241,22,0.0552775378357508,0,-0.0145630115371733,-0.20851799803881715
5,0.1278466668348565,2,0.1000736651037828,2,-0.027773001731073693,-0.21723680733068265
6,0.0635497244175455,13,0.0690461208960742,3,0.005496396478528703,0.08648969808925243
7,0.0863821124952894,17,0.0703536199402199,27,-0.01602849255506951,-0.18555337548550432
8,,-1,,-1,,
