phase,max_stat_obs,best_lag_obs,p_phase,q_phase,n_lags_used,min_n,median_n,n_null,block_len,null_mode,window_mode,underpowered_policy,two_sided,condition_file,condition_var,condition_values,p_global
1,0.04067544495716913,18,0.11094452773613193,0.1386806596701649,31,483.0,483.0,2000,60,blockperm,binary_gate,flag_only,0,,,,0.013493253373313344
2,,-1,,,0,426.0,429.0,2000,60,blockperm,binary_gate,flag_only,0,,,,0.013493253373313344
3,0.04640691048600276,13,0.05147426286856572,0.08579043811427621,31,467.0,477.0,2000,60,blockperm,binary_gate,flag_only,0,,,,0.013493253373313344
4,0.03351721544534492,7,0.5402298850574713,0.5402298850574713,31,517.0,519.0,2000,60,blockperm,binary_gate,flag_only,0,,,,0.013493253373313344
5,0.05978593947999844,13,0.029985007496251874,0.07496251874062969,31,426.0,426.0,2000,60,blockperm,binary_gate,flag_only,0,,,,0.013493253373313344
6,0.13231412443998725,8,0.013493253373313344,0.06746626686656672,31,409.0,409.0,2000,60,blockperm,binary_gate,flag_only,0,,,,0.013493253373313344
7,,-1,,,0,394.0,394.0,2000,60,blockperm,binary_gate,flag_only,0,,,,0.013493253373313344
8,,-1,,,0,498.0,498.0,2000,60,blockperm,binary_gate,flag_only,0,,,,0.013493253373313344
