phase,maxstat_obs,best_lag_obs,p_phase,q_phase,n_null,null_mode,block_len,stat,two_sided,amp_var,gate_var,gate_source,gate_percentile,gate_threshold,gate_train,phase_var,p_global
1,0.15250762776506488,0,0.3963018490754623,0.4529163989433855,2000,blockperm,60,auc,1,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.15242378810594703
2,0.13676134069188317,3,0.7151424287856072,0.7151424287856072,2000,blockperm,60,auc,1,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.15242378810594703
3,0.16836124401913877,3,0.2588705647176412,0.4529163989433855,2000,blockperm,60,auc,1,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.15242378810594703
4,0.1594036697247706,5,0.18940529735132433,0.4529163989433855,2000,blockperm,60,auc,1,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.15242378810594703
5,0.15673529262987507,13,0.39580209895052476,0.4529163989433855,2000,blockperm,60,auc,1,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.15242378810594703
6,0.24088196286472152,27,0.10194902548725637,0.4077961019490255,2000,blockperm,60,auc,1,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.15242378810594703
7,0.2714387274504576,5,0.08295852073963018,0.4077961019490255,2000,blockperm,60,auc,1,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.15242378810594703
8,0.17614469132907307,11,0.383808095952024,0.4529163989433855,2000,blockperm,60,auc,1,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.15242378810594703
