phase,lag,n_on,n_off,n_total,p_on,H_uncond,H_cond,IG_bits,MI_bits,KL_on_bits,KL_off_bits,q90_shift,n_bins,underpowered,bestlag_phase,window_mode,gate_source,gate_percentile,gate_threshold,gate_train,block_len,n_null,bin_method,bins_min,bins_max,fixed_bins,test_window,target,underpowered_policy,two_sided,min_on,min_off,min_total,condition_file,condition_var,condition_values
1,15,46,437,483,0.09523809523809523,3.7577656957663503,3.6783935932360894,0.07937210253026078,,0.6060296215443922,0.01339263706092882,0.09420289855072464,20,0,1,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,16,46,437,483,0.09523809523809523,3.7822586242340264,3.7251131621815157,0.05714546205251046,,0.4467977103081535,0.008329967863884,0.13768115942028986,20,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,17,46,437,483,0.09523809523809523,3.870350036288405,3.8239665678622097,0.04638346842619574,,0.35987613139105434,0.0064971251471846545,0.13768115942028986,22,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,18,46,437,483,0.09523809523809523,3.824679537334419,3.770804507484846,0.05387502984957228,,0.3998005648955005,0.009862182756675128,0.2028985507246377,22,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,19,46,437,483,0.09523809523809523,3.7762265025473463,3.728405990188012,0.047820512359335036,,0.36705393735111486,0.007515063170428806,0.13768115942028986,21,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,20,46,437,483,0.09523809523809523,3.7945933608288325,3.7356272661966106,0.05896609463222115,,0.44915333785918027,0.009321735560933912,0.09420289855072464,22,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,21,46,437,483,0.09523809523809523,3.9068035797970677,3.8659592758104036,0.040844303986664277,,0.3029955027482979,0.0064733690379169045,0.0289855072463768,26,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,22,46,437,483,0.09523809523809523,3.909344644344123,3.8893232593417513,0.020021385002371276,,0.1484402830368765,0.0031842405934027914,0.0289855072463768,26,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,23,46,437,483,0.09523809523809523,3.920166379392534,3.8934242483363044,0.026742131056229256,,0.19766353230377895,0.004332436225994911,0.07246376811594202,26,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,24,46,437,483,0.09523809523809523,3.930127814599888,3.8886222967156314,0.04150551788425687,,0.31235851885955707,0.006255461027627177,0.11594202898550723,25,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,25,46,437,483,0.09523809523809523,3.8832978904060247,3.8527446068440763,0.030553283561948908,,0.23215981299721214,0.005099051353921213,0.13768115942028986,21,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,26,46,437,483,0.09523809523809523,3.807396146946985,3.7712354922255,0.03616065472148428,,0.2617495511536068,0.0072390013327506475,0.13768115942028986,23,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,27,46,437,483,0.09523809523809523,3.827004749819024,3.783792928389339,0.04321182142968559,,0.31679260112820407,0.007871765254821292,0.13768115942028986,24,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,28,46,437,483,0.09523809523809523,3.7097282930542472,3.6658339136359017,0.04389437941834479,,0.3366010356908515,0.00722419429248264,0.11594202898550723,20,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,29,46,437,483,0.09523809523809523,3.7797831306575405,3.7545582596021423,0.025224871055398695,,0.19721458053997068,0.0036780618134836557,0.09420289855072464,20,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,30,46,437,483,0.09523809523809523,3.7646297474449235,3.7318192127321774,0.03281053471274596,,0.25379870572553676,0.0051252157491748765,0.050724637681159424,20,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
2,0,38,391,429,0.08857808857808858,3.785264319284519,3.7362745484824185,0.04898977080210094,,0.361010244640979,0.010957424488406883,0.08397742608268922,22,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
2,1,38,391,429,0.08857808857808858,3.8053510419223153,3.765435670156006,0.03991537176631013,,0.29284451243015863,0.00936228752671698,0.08397742608268922,21,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
2,2,38,391,429,0.08857808857808858,3.732081145688966,3.6886361335536044,0.04344501213536211,,0.3401905035384585,0.00792435481030319,0.08397742608268922,20,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
2,3,38,391,429,0.08857808857808858,3.645682557272465,3.5879869803310447,0.057695576941420204,,0.453330708094119,0.010772558889602012,0.13660900503005763,19,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
2,4,38,391,429,0.08857808857808858,3.6731915746261663,3.6150603138879593,0.05813126073820675,,0.4589321733719801,0.010595571973901534,0.1892405839774261,19,0,1,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
2,5,38,391,429,0.08857808857808858,3.5973414087844207,3.556964722014615,0.04037668676980513,,0.32718703653269643,0.006993254319305899,0.16292479450374187,17,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
2,6,38,391,429,0.08857808857808858,3.655861558551949,3.6201605795240255,0.035700979027923255,,0.298147452423542,0.0051533920119125175,0.1892405839774261,17,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
2,7,38,391,429,0.08857808857808858,3.5100150224711046,3.467020010480592,0.0429950119905122,,0.36416187933666566,0.005968255354113553,0.21555637345111028,16,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
2,8,38,391,429,0.08857808857808858,3.5863705727287636,3.547881928845769,0.03848864388299497,,0.326108640158291,0.005010972226421098,0.11029321555637343,17,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
2,9,38,391,429,0.08857808857808858,3.533962853450335,3.506955831035699,0.027007022414636032,,0.23072273698577106,0.003521000183377348,0.08397742608268922,16,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
