phase,maxstat_obs,best_lag_obs,p_phase,q_phase,n_null,null_mode,block_len,stat,two_sided,amp_var,gate_var,gate_source,gate_percentile,gate_threshold,gate_train,phase_var,p_global
1,0.6791204752024,0,0.10344827586206896,0.22788605697151426,2000,blockperm,60,snr,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.047476261869065464
2,0.5162880024461993,3,0.5347326336831584,0.5347326336831584,2000,blockperm,60,snr,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.047476261869065464
3,0.649365776529459,3,0.1329335332333833,0.22788605697151426,2000,blockperm,60,snr,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.047476261869065464
4,0.5551984610136625,5,0.13243378310844578,0.22788605697151426,2000,blockperm,60,snr,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.047476261869065464
5,0.6040744207596956,13,0.19890054972513743,0.23873777397015777,2000,blockperm,60,snr,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.047476261869065464
6,0.7787394317836074,28,0.20889555222388806,0.23873777397015777,2000,blockperm,60,snr,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.047476261869065464
7,1.2295373362077295,4,0.030484757621189407,0.22788605697151426,2000,blockperm,60,snr,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.047476261869065464
8,0.680362458566185,11,0.1424287856071964,0.22788605697151426,2000,blockperm,60,snr,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.047476261869065464
