phase,maxstat_obs,best_lag_obs,p_phase,q_phase,n_null,null_mode,block_len,stat,two_sided,p_global
1,0.3849601745605469,3,0.17191404297851073,0.6356821589205397,2000,circshift,60,sinr,0,0.7631184407796102
2,0.47512829303741455,10,0.49375312343828087,0.8321553508959806,2000,circshift,60,sinr,0,0.7631184407796102
3,0.08458837866783142,25,0.8650674662668666,0.8650674662668666,2000,circshift,60,sinr,0,0.7631184407796102
4,0.07726098597049713,30,0.6591704147926037,0.8321553508959806,2000,circshift,60,sinr,0,0.7631184407796102
5,0.2276698648929596,10,0.136431784107946,0.6356821589205397,2000,circshift,60,sinr,0,0.7631184407796102
6,0.19407933950424194,12,0.2383808095952024,0.6356821589205397,2000,circshift,60,sinr,0,0.7631184407796102
7,0.09349723160266876,1,0.6526736631684158,0.8321553508959806,2000,circshift,60,sinr,0,0.7631184407796102
8,0.22920279204845428,6,0.728135932033983,0.8321553508959806,2000,circshift,60,sinr,0,0.7631184407796102
