phase,maxstat_obs,best_lag_obs,p_phase,q_phase,n_null,null_mode,block_len,stat,two_sided,p_global
1,0.27438949927344014,3,0.015992003998001,0.07196401799100449,2000,blockperm,60,jsd,0,0.025487256371814093
2,0.22674167300280468,4,0.1924037981009495,0.21989005497251374,2000,blockperm,60,jsd,0,0.025487256371814093
3,0.2469243066387019,6,0.028985507246376812,0.07729468599033816,2000,blockperm,60,jsd,0,0.025487256371814093
4,0.1423641197601384,10,0.5477261369315343,0.5477261369315343,2000,blockperm,60,jsd,0,0.025487256371814093
5,0.29164847719391185,8,0.10044977511244378,0.13393303348325838,2000,blockperm,60,jsd,0,0.025487256371814093
6,0.2578511044982128,28,0.04697651174412794,0.09395302348825588,2000,blockperm,60,jsd,0,0.025487256371814093
7,0.37210542950963665,2,0.017991004497751123,0.07196401799100449,2000,blockperm,60,jsd,0,0.025487256371814093
8,0.27954052964397436,20,0.07846076961519241,0.12553723138430786,2000,blockperm,60,jsd,0,0.025487256371814093
