phase,maxstat_obs,best_lag_obs,p_phase,q_phase,n_null,null_mode,block_len,stat,two_sided,p_global
1,0.3849601745605469,3,0.07746126936531735,0.6170248209228719,2000,blockperm,60,sinr,0,0.7871064467766117
2,0.47512829303741455,10,0.41529235382308843,0.6170248209228719,2000,blockperm,60,sinr,0,0.7871064467766117
3,0.08458837866783142,25,0.6521739130434783,0.7453416149068323,2000,blockperm,60,sinr,0,0.7871064467766117
4,0.07726098597049713,30,0.4302848575712144,0.6170248209228719,2000,blockperm,60,sinr,0,0.7871064467766117
5,0.2276698648929596,10,0.15542228885557222,0.6170248209228719,2000,blockperm,60,sinr,0,0.7871064467766117
6,0.19407933950424194,12,0.44227886056971516,0.6170248209228719,2000,blockperm,60,sinr,0,0.7871064467766117
7,0.09349723160266876,1,0.46276861569215394,0.6170248209228719,2000,blockperm,60,sinr,0,0.7871064467766117
8,0.22920279204845428,6,0.8760619690154923,0.8760619690154923,2000,blockperm,60,sinr,0,0.7871064467766117
