phase,maxstat_obs,best_lag_obs,p_phase,q_phase,n_null,null_mode,block_len,stat,two_sided,p_global
1,0.391304347826087,11,0.1839080459770115,0.2942528735632184,2000,circshift,60,pd_at_pfa,0,0.047976011994003
2,0.375,10,0.3918040979510245,0.447776111944028,2000,circshift,60,pd_at_pfa,0,0.047976011994003
3,0.4,6,0.13993003498250875,0.2798600699650175,2000,circshift,60,pd_at_pfa,0,0.047976011994003
4,0.23684210526315788,4,0.4927536231884058,0.4927536231884058,2000,circshift,60,pd_at_pfa,0,0.047976011994003
5,0.7619047619047619,20,0.017991004497751123,0.127936031984008,2000,circshift,60,pd_at_pfa,0,0.047976011994003
6,0.32,15,0.3803098450774613,0.447776111944028,2000,circshift,60,pd_at_pfa,0,0.047976011994003
7,0.6470588235294118,2,0.047976011994003,0.127936031984008,2000,circshift,60,pd_at_pfa,0,0.047976011994003
8,0.7272727272727273,6,0.04397801099450275,0.127936031984008,2000,circshift,60,pd_at_pfa,0,0.047976011994003
