phase,mu_lag,rms_spread,peak_lag,sum_w,n_lags
1,12.575723242340612,8.83000071160945,3,1.6880347593459497,31
2,13.172758754713303,7.839444708140551,16,1.215041187324061,31
3,12.655804550768384,8.84900472076354,3,1.2115314797274364,31
4,12.258154011565631,8.297665941841757,8,0.8555111166923987,31
5,17.148871129382673,8.857753679243194,24,1.9973924311144546,31
6,15.480694114477508,7.466408516651622,9,1.3543233692429097,31
7,15.525482915965085,8.135369852885924,16,1.3702321615468147,31
8,16.47917744723065,9.453786551166793,25,1.0594858879578821,31
