phase,maxstat_obs,best_lag_obs,p_phase,q_phase,n_null,null_mode,block_len,stat,two_sided,p_global
1,0.27438949927344014,3,0.015968063872255488,0.06387225548902196,500,blockperm,60,jsd,0,0.031936127744510975
2,0.22674167300280468,4,0.18962075848303392,0.21670943826632447,500,blockperm,60,jsd,0,0.031936127744510975
3,0.2469243066387019,6,0.023952095808383235,0.06387225548902196,500,blockperm,60,jsd,0,0.031936127744510975
4,0.1423641197601384,10,0.5389221556886228,0.5389221556886228,500,blockperm,60,jsd,0,0.031936127744510975
5,0.29164847719391185,8,0.09580838323353294,0.12774451097804393,500,blockperm,60,jsd,0,0.031936127744510975
6,0.2578511044982128,28,0.04790419161676647,0.09580838323353294,500,blockperm,60,jsd,0,0.031936127744510975
7,0.37210542950963665,2,0.021956087824351298,0.06387225548902196,500,blockperm,60,jsd,0,0.031936127744510975
8,0.27954052964397436,20,0.07984031936127745,0.1277445109780439,500,blockperm,60,jsd,0,0.031936127744510975
