phase,best_lag_ig,outage_q20,lcr_q20,afd_q20,pd_at_pfa,outage_at_pfa
1,15,0.391304347826087,0.0888888888888888,9.0,0.217391304347826,0.7826086956521741
2,4,0.1578947368421052,0.1081081081081081,3.0,0.3157894736842105,0.6842105263157895
3,2,0.25,0.0952380952380952,5.333333333333333,0.34375,0.65625
4,0,0.2857142857142857,0.144578313253012,4.0,0.2023809523809523,0.7976190476190477
5,13,0.1509433962264151,0.0769230769230769,2.6666666666666665,0.3773584905660377,0.6226415094339623
6,8,0.375,0.0967741935483871,6.0,0.34375,0.65625
7,2,0.15625,0.064516129032258,5.0,0.53125,0.46875
8,30,0.2162162162162162,0.1388888888888889,2.6666666666666665,0.5405405405405406,0.45945945945945943
