phase,max_stat_obs,best_lag_obs,p_phase,q_phase,n_lags_used,min_n,median_n,n_null,block_len,null_mode,window_mode,underpowered_policy,two_sided,condition_file,condition_var,condition_values
1,0.047129918504929424,0,1.0,1.0,28,418.0,462.0,0,60,blockperm,binary_gate,flag_only,0,,,
2,,-1,,,0,333.0,401.0,0,60,blockperm,binary_gate,flag_only,0,,,
3,0.06270238490688751,13,1.0,1.0,18,359.0,415.0,0,60,blockperm,binary_gate,flag_only,0,,,
4,0.03544959198752995,25,1.0,1.0,25,392.0,448.0,0,60,blockperm,binary_gate,flag_only,0,,,
5,0.02955994686179375,30,1.0,1.0,14,294.0,382.0,0,60,blockperm,binary_gate,flag_only,0,,,
6,0.06914775227657177,25,1.0,1.0,21,239.0,368.0,0,60,blockperm,binary_gate,flag_only,0,,,
7,,-1,,,0,0.0,375.0,0,60,blockperm,binary_gate,flag_only,0,,,
8,,-1,,,0,449.0,479.0,0,60,blockperm,binary_gate,flag_only,0,,,
