phase,max_stat_obs,best_lag_obs,p_phase,q_phase,n_lags_used,min_n,median_n,n_null,block_len,null_mode,window_mode,underpowered_policy,two_sided,condition_file,condition_var,condition_values,p_global
1,0.07937210253026078,15,0.12443778110944528,0.16591704147926037,31,483.0,483.0,2000,60,circshift,binary_gate,flag_only,0,,,,0.014992503748125937
2,0.05813126073820675,4,0.367816091954023,0.42036124794745483,31,426.0,429.0,2000,60,circshift,binary_gate,flag_only,0,,,,0.014992503748125937
3,0.09083652812429005,2,0.020989505247376312,0.050974512743628186,31,467.0,477.0,2000,60,circshift,binary_gate,flag_only,0,,,,0.014992503748125937
4,0.05826466766929686,0,0.4362818590704648,0.4362818590704648,31,517.0,519.0,2000,60,circshift,binary_gate,flag_only,0,,,,0.014992503748125937
5,0.08663808801051437,13,0.08045977011494253,0.12873563218390804,31,426.0,426.0,2000,60,circshift,binary_gate,flag_only,0,,,,0.014992503748125937
6,0.1312078543606935,8,0.0029985007496251873,0.0239880059970015,31,409.0,409.0,2000,60,circshift,binary_gate,flag_only,0,,,,0.014992503748125937
7,0.12073647751815535,2,0.00849575212393803,0.03398300849575212,31,394.0,394.0,2000,60,circshift,binary_gate,flag_only,0,,,,0.014992503748125937
8,0.09151610316372454,30,0.025487256371814093,0.050974512743628186,31,498.0,498.0,2000,60,circshift,binary_gate,flag_only,0,,,,0.014992503748125937
