phase,lag,n_on,n_off,diff,std_off,snr,cohen_d,median_on,median_off,diff_median,auc,sinr,selectivity,pd_at_pfa,jsd,bestlag_phase,train_window,test_window,block_len,n_null,null_mode,stat,two_sided,pfa
1,0,23,462,11.640522003173828,22.50057029724121,0.5173434019088745,0.5031335716638694,23.83304786682129,1.1362617015838623,22.696786880493164,,,0.12237468361854553,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,1,23,462,10.58328914642334,20.344074249267578,0.520214855670929,0.5069353981124842,19.165664672851562,1.031186580657959,18.134477615356445,,,0.13129469752311707,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,2,23,462,10.384294509887695,18.71756362915039,0.5547887682914734,0.5408438086721357,17.647850036621094,0.8647836446762085,16.783065795898438,,,0.17292657494544983,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,3,23,462,9.892354965209961,17.57928466796875,0.5627279877662659,0.548000961339714,15.562837600708008,0.35962238907814026,15.203215599060059,,,0.18405169248580933,,,1,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,4,23,462,8.799620628356934,17.28129768371582,0.5091990828514099,0.4952811870761961,12.095322608947754,-0.12766313552856445,12.222986221313477,,,0.1330713927745819,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,5,23,462,7.990209579467773,17.692325592041016,0.45162007212638855,0.43875758451466457,7.330921649932861,-0.10657048970460892,7.437492370605469,,,0.10933858156204224,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,6,23,462,7.436428546905518,17.913021087646484,0.41514095664024353,0.40147871180498645,0.7952659130096436,-0.5111348032951355,1.3064007759094238,,,0.07825711369514465,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,7,23,462,6.566904544830322,16.975975036621094,0.3868351876735687,0.37044391987158887,-2.9340643882751465,-0.8642715215682983,-2.0697927474975586,,,0.09026288986206055,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,8,23,462,6.397452354431152,16.413808822631836,0.3897603750228882,0.3695952832272435,-2.9634616374969482,-0.20714923739433289,-2.756312370300293,,,0.09161078929901123,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,9,23,462,7.912215709686279,16.60346794128418,0.4765399396419525,0.448318188871605,-0.4772709310054779,-0.37422317266464233,-0.10304775834083557,,,0.08824387192726135,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,10,23,462,9.721367835998535,16.697811126708984,0.5821941494941711,0.5442734118371102,3.266850709915161,-0.26125675439834595,3.5281074047088623,,,0.09714341163635254,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,11,23,462,11.3468017578125,16.812902450561523,0.6748865246772766,0.6300010411201188,6.211632251739502,-1.1292617321014404,7.340893745422363,,,0.09091022610664368,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,12,23,462,12.897409439086914,17.0567626953125,0.7561463713645935,0.7097531401790315,8.676321029663086,-0.6624701619148254,9.338790893554688,,,0.07047227025032043,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,13,23,462,14.458040237426758,17.986055374145508,0.8038471937179565,0.7583611160404011,11.629432678222656,0.040172088891267776,11.589261054992676,,,0.05734553933143616,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,14,23,462,16.226682662963867,20.10781478881836,0.8069838881492615,0.7646032192837647,15.120104789733887,0.6172516942024231,14.502853393554688,,,0.046476542949676514,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,15,23,462,17.37847137451172,23.81413459777832,0.7297545075416565,0.6965138496210108,16.58087158203125,1.1324419975280762,15.448429107666016,,,0.03814920783042908,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,16,23,462,16.797103881835938,27.863662719726562,0.6028318405151367,0.5837534470708178,15.091580390930176,0.14176341891288757,14.949816703796387,,,0.0011098384857177734,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,17,23,462,14.203219413757324,29.2593994140625,0.4854241609573364,0.4766696443471218,15.11251449584961,0.05819472670555115,15.054319381713867,,,-0.0746544599533081,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,18,23,462,11.797115325927734,29.284061431884766,0.40285107493400574,0.4005443255018636,12.244526863098145,-0.16539444029331207,12.409921646118164,,,-0.0853637158870697,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,19,23,462,9.047968864440918,25.833791732788086,0.35023772716522217,0.3514770011849641,16.15125846862793,-0.6837102174758911,16.83496856689453,,,-0.07921561598777771,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,20,23,462,4.7811689376831055,22.698137283325195,0.21064147353172302,0.21143742120394543,5.4410576820373535,-1.5312907695770264,6.972348213195801,,,-0.0664823055267334,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,21,23,462,2.208977699279785,21.202661514282227,0.10418397933244705,0.10365430094086928,-3.828925371170044,-1.5115821361541748,-2.317343235015869,,,-0.0362510085105896,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,22,23,462,1.3025076389312744,20.392658233642578,0.06387139856815338,0.06283800158476906,-4.998793125152588,-2.865750551223755,-2.133042573928833,,,0.052653342485427856,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,23,23,462,1.033544659614563,20.506010055541992,0.05040203779935837,0.04914248207746008,-5.903285026550293,-2.3507070541381836,-3.5525779724121094,,,0.09878429770469666,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,24,23,462,1.323582649230957,22.97127914428711,0.05761902406811714,0.05593553396601506,-0.250104159116745,-2.3970987796783447,2.1469945907592773,,,0.07900813221931458,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,25,23,462,0.44653335213661194,25.342634201049805,0.017619848251342773,0.017105392833431002,10.940156936645508,-0.7299172282218933,11.670074462890625,,,0.09591853618621826,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,26,23,462,-1.4677363634109497,24.37579917907715,-0.06021285057067871,-0.05831952184845159,8.103813171386719,-0.2590802311897278,8.362893104553223,,,0.11348149180412292,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,27,23,462,-3.3820528984069824,23.000722885131836,-0.14704115688800812,-0.14128556542055304,4.97630500793457,0.33896151185035706,4.637343406677246,,,0.15449821949005127,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,28,23,462,-5.265165328979492,23.392154693603516,-0.22508253157138824,-0.2150061634082127,-0.6230776906013489,0.24128638207912445,-0.8643640875816345,,,0.1701745092868805,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,29,23,462,-5.618333339691162,24.14558219909668,-0.23268577456474304,-0.22270028889873936,-3.889059543609619,-0.3045993745326996,-3.5844602584838867,,,0.14540773630142212,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
1,30,23,462,-4.161350250244141,24.858896255493164,-0.1673988401889801,-0.16130468056918063,-2.0087473392486572,-0.0005029570311307907,-2.008244276046753,,,0.09192681312561035,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,0,8,421,-6.45858097076416,18.224285125732422,-0.35439419746398926,-0.3516148647903079,-2.7910919189453125,0.5045292973518372,-3.295621156692505,,,-0.006394535303115845,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,1,8,421,-6.421496868133545,19.223724365234375,-0.33404019474983215,-0.33169245348808,-2.22222900390625,-0.8551000952720642,-1.367128849029541,,,0.021950215101242065,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,2,8,421,-5.294764518737793,20.787567138671875,-0.2547082304954529,-0.25251666330891914,0.9190552234649658,-2.8214335441589355,3.7404887676239014,,,0.049485355615615845,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,3,8,421,-4.283663272857666,23.848482131958008,-0.1796199530363083,-0.1780256191675358,5.573784351348877,-2.3799378871917725,7.95372200012207,,,-0.013555288314819336,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
