phase,max_stat_obs,best_lag_obs,p_phase,q_phase,n_lags_used,min_n,median_n,n_null,block_len,null_mode,window_mode,underpowered_policy,two_sided,condition_file,condition_var,condition_values,p_global
1,0.207853388108925,3,0.03248375812093953,0.06496751624187906,31,483.0,483.0,2000,60,circshift,continuous_intensity,flag_only,0,,,,0.025487256371814093
2,0.18470006300611147,4,0.18790604697651175,0.21474976797315629,31,426.0,429.0,2000,60,circshift,continuous_intensity,flag_only,0,,,,0.025487256371814093
3,0.19099741268330786,2,0.12543728135932034,0.1672497084790938,31,467.0,477.0,2000,60,circshift,continuous_intensity,flag_only,0,,,,0.025487256371814093
4,0.1622910465993319,0,0.5052473763118441,0.5052473763118441,31,517.0,519.0,2000,60,circshift,continuous_intensity,flag_only,0,,,,0.025487256371814093
5,0.2322174202493492,25,0.01649175412293853,0.059970014992503755,31,426.0,426.0,2000,60,circshift,continuous_intensity,flag_only,0,,,,0.025487256371814093
6,0.21789341015356567,8,0.010994502748625687,0.059970014992503755,31,409.0,409.0,2000,60,circshift,continuous_intensity,flag_only,0,,,,0.025487256371814093
7,0.22629042364278795,16,0.022488755622188907,0.059970014992503755,31,394.0,394.0,2000,60,circshift,continuous_intensity,flag_only,0,,,,0.025487256371814093
8,0.18950525578278207,30,0.0544727636181909,0.08715642178910545,31,498.0,498.0,2000,60,circshift,continuous_intensity,flag_only,0,,,,0.025487256371814093
