phase,Delta_source,Delta_template,Delta_total
1,0.0628160551960834,-0.006454473547760298,0.0563615816483231
2,,,
3,0.0272734434634496,-0.016295474420884797,0.010977969042564803
4,0.0407274704836591,-0.0019323765421849978,0.0387950939414741
5,0.08168034075820031,0.0302259926182047,0.11190633337640501
6,-0.019452388097321596,0.06316637216341549,0.04371398406609389
7,,,
8,,,
